reaction,mapped_reaction
C=CCOc1ccccc1>>Oc1ccccc1CC=C,[CH2:1]=[CH:2][CH2:3][O:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[OH:4][c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[CH2:1][CH:2]=[CH2:3]
C\C=C\CC\C=C\C>>CC(C=C)C(C)C=C,[CH3:1]\[CH:2]=[CH:3]\[CH2:4][CH2:5]\[CH:6]=[CH:7]\[CH3:8]>>[CH3:1][CH:2]([CH:3]=[CH2:4])[CH:7]([CH3:8])[CH:6]=[CH2:5]
CCCC[Sn](CCCC)(CCCC)CO[C@@H]1C[C@H](C=C1)N(CC=C)C(=O)OC(C)(C)C>>CC(C)(C)OC(=O)N(CC=C)[C@@H]1CC=C[C@H]1CO.CCCC[SnH](CCCC)CCCC,[CH3:1][CH2:2][CH2:3][CH2:4][Sn:5]([CH2:6][CH2:7][CH2:8][CH3:9])([CH2:10][CH2:11][CH2:12][CH3:13])[CH2:14][O:15][C@@H:16]1[CH2:17][C@H:18]([CH:19]=[CH:20]1)[N:21]([CH2:22][CH:23]=[CH2:24])[C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31]>>[CH3:1][CH2:2][CH2:3][CH2:4][SnH:5]([CH2:10][CH2:11][CH2:12][CH3:13])[CH2:6][CH2:7][CH2:8][CH3:9].[CH3:31][C:28]([CH3:30])([CH3:29])[O:27][C:25](=[O:26])[N:21]([CH2:22][CH:23]=[CH2:24])[C@@H:18]1[CH2:17][CH:16]=[CH:20][C@H:19]1[CH2:14][OH:15]
CC(C)C1=C/C=C(C)/CC\C=C(C)\CC[C@@H](OC\1)C(C)=C>>CC(C)C1=C/C=C(C)/CC\C=C(C)\CC\C=C(C)\C[C@@H]\1O,[CH3:1][CH:2]([CH3:3])[C:4]1=[CH:5]/[CH:6]=[C:7]([CH3:8])/[CH2:9][CH2:10]\[CH:11]=[C:12]([CH3:13])\[CH2:14][CH2:15][C@@H:16]([O:17][CH2:18]\1)[C:19]([CH3:20])=[CH2:21]>>[CH3:3][CH:2]([CH3:1])[C:4]1=[CH:5]/[CH:6]=[C:7]([CH3:8])/[CH2:9][CH2:10]\[CH:11]=[C:12]([CH3:13])\[CH2:14][CH2:15]\[CH:16]=[C:19]([CH3:20])\[CH2:21][C@@H:18]\1[OH:17]
CC(C)(C)[Si](C)(C)O[C@H]1[C@H](OCc2ccccc2)OCC1(C)C>>CC(C)(C)[Si](C)(C)O[C@H]1[C@@H](OCC1(C)C)[C@@H](O)c1ccccc1,[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][C@H:9]1[C@H:10]([O:11][CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[O:19][CH2:20][C:21]1([CH3:22])[CH3:23]>>[CH3:4][C:2]([CH3:3])([CH3:1])[Si:5]([CH3:7])([CH3:6])[O:8][C@H:9]1[C@@H:10]([O:19][CH2:20][C:21]1([CH3:22])[CH3:23])[C@@H:12]([OH:11])[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1
CS(=O)c1ccc(Cl)cc1.FC(F)(F)C(=O)OC(=O)C(F)(F)F>>FC(F)(F)C(=O)OCSc1ccc(Cl)cc1.OC(=O)C(F)(F)F,[CH3:1][S:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]([Cl:8])[cH:9][cH:10]1.[F:11][C:12]([F:13])([F:14])[C:15](=[O:16])[O:17][C:18](=[O:19])[C:20]([F:21])([F:22])[F:23]>>[F:11][C:12]([F:13])([F:14])[C:15](=[O:16])[O:17][CH2:1][S:2][c:4]1[cH:10][cH:9][c:7]([Cl:8])[cH:6][cH:5]1.[OH:3][C:18](=[O:19])[C:20]([F:21])([F:22])[F:23]
CCC1(C\C=C(/C)COC=C)OCCO1>>CCC1(CC(CC=O)C(C)=C)OCCO1,[CH3:1][CH2:2][C:3]1([CH2:4]\[CH:5]=[C:6](/[CH3:7])[CH2:8][O:9][CH:10]=[CH2:11])[O:12][CH2:13][CH2:14][O:15]1>>[CH3:1][CH2:2][C:3]1([CH2:4][CH:5]([CH2:11][CH:10]=[O:9])[C:6]([CH3:7])=[CH2:8])[O:15][CH2:14][CH2:13][O:12]1
OC1(C=CC(=O)C=C1)C#Cc1ccccc1.C=C1CC(=O)O1>>CC(=O)Cc1cc(ccc1O)C#Cc1ccccc1.O=C=O,[CH2:1]=[C:2]1[CH2:3][C:4](=[O:5])[O:6]1.[OH:7][C:8]1([CH:9]=[CH:10][C:11](=[O:12])[CH:13]=[CH:14]1)[C:15]#[C:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[O:5]=[C:4]=[O:7].[CH3:1][C:2](=[O:6])[CH2:3][c:10]1[cH:9][c:8]([cH:14][cH:13][c:11]1[OH:12])[C:15]#[C:16][c:17]1[cH:22][cH:21][cH:20][cH:19][cH:18]1
OC1(C=CC(=O)C=C1)C#Cc1ccccc1.C=C1CC(=O)O1>>CC(=O)Cc1cc(ccc1O)C#Cc1ccccc1,[CH2:1]=[C:2]1[CH2:3][C:4](=[O:5])[O:6]1.[OH:7][C:8]1([CH:9]=[CH:10][C:11](=[O:12])[CH:13]=[CH:14]1)[C:15]#[C:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[CH3:1][C:2](=[O:6])[CH2:3][c:10]1[cH:9][c:8]([cH:14][cH:13][c:11]1[OH:12])[C:15]#[C:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1.[C:4].[O:5].[O:7]
OC(CC=C)C=C>>C=CCCCC=O,[OH:1][CH:2]([CH2:3][CH:4]=[CH2:5])[CH:6]=[CH2:7]>>[CH2:3]=[CH:4][CH2:5][CH2:7][CH2:6][CH:2]=[O:1]
CC#CC(O)=O.O=CC1=CC=CS1.CC(C)(C)[N+]#[C-].COc1ccc(CN)cc1>>COc1ccc(CN(C(C(=O)NC(C)(C)C)C2=CC=CS2)C(=O)C#CC)cc1.O,[CH3:1][C:2]#[C:3][C:4]([OH:5])=[O:6].[O:7]=[CH:8][C:9]1=[CH:10][CH:11]=[CH:12][S:13]1.[CH3:14][C:15]([CH3:16])([CH3:17])[N+:18]#[C-:19].[CH3:20][O:21][c:22]1[cH:23][cH:24][c:25]([CH2:26][NH2:27])[cH:28][cH:29]1>>[CH3:20][O:21][c:22]1[cH:23][cH:24][c:25]([CH2:26][N:27]([CH:8]([C:19](=[O:5])[NH:18][C:15]([CH3:17])([CH3:16])[CH3:14])[C:9]2=[CH:10][CH:11]=[CH:12][S:13]2)[C:4](=[O:6])[C:3]#[C:2][CH3:1])[cH:28][cH:29]1.[OH2:7]
OC(C(F)(Sc1ccccc1)F)=O.O=Cc2ccccc2.[C-]#[N+]c3ccccc3.Nc4ccccc4>>FC(Sc5ccccc5)(C(N(c6ccccc6)C(c7ccccc7)C(Nc8ccccc8)=O)=O)F.O,[OH:1][C:2](=[O:13])[C:3]([F:4])([F:12])[S:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1.[O:14]=[CH:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1.[C-:22]#[N+:23][c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1.[NH2:30][c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1>>[F:4][C:3]([F:12])([S:5][c:6]1[cH:11][cH:10][cH:9][cH:8][cH:7]1)[C:2](=[O:13])[N:30]([CH:15]([C:22](=[O:1])[NH:23][c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1)[c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)[c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1.[OH2:14]
[C-]#[N+]C1CCCC1.OC(=O)CC#N.O=CC(=O)C1=CC=CS1>>O=C(CC#N)OC(C(=O)NC1CCCC1)C(=O)C1=CC=CS1,[C-:1]#[N+:2][CH:3]1[CH2:4][CH2:5][CH2:6][CH2:7]1.[OH:8][C:9](=[O:10])[CH2:11][C:12]#[N:13].[O:14]=[CH:15][C:16](=[O:17])[C:18]1=[CH:19][CH:20]=[CH:21][S:22]1>>[O:10]=[C:9]([CH2:11][C:12]#[N:13])[O:14][CH:15]([C:1](=[O:8])[NH:2][CH:3]1[CH2:4][CH2:5][CH2:6][CH2:7]1)[C:16](=[O:17])[C:18]1=[CH:19][CH:20]=[CH:21][S:22]1
O=Cc1ccccc1.CC(=C)C[Si](C)(C)C.Cl>>CC(=C)CC(O)c1ccccc1.C[Si](C)(C)Cl,[O:1]=[CH:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1.[CH3:9][C:10](=[CH2:11])[CH2:12][Si:13]([CH3:14])([CH3:15])[CH3:16].[ClH:17]>>[CH3:9][C:10](=[CH2:12])[CH2:11][CH:2]([OH:1])[c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1.[CH3:16][Si:13]([CH3:15])([CH3:14])[Cl:17]
O=Cc1ccccc1.C[Si](C)(C)CC=C>>OC(CC=C)c1ccccc1,[CH3:1][Si:2]([CH3:3])([CH3:4])[CH2:5][CH:6]=[CH2:7].[O:8]=[CH:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1>>[OH:8][CH:9]([CH2:7][CH:6]=[CH2:5])[c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1.[C:3].[C:1].[C:4].[Si:2]
N#CCCCOC1=C(Sc2ccccc12)C#N>>Nc1nc2OCCc2c-2c1Sc1ccccc-21,[N:1]#[C:2][CH2:3][CH2:4][CH2:5][O:6][C:7]1=[C:8]([S:9][c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]12)[C:16]#[N:17]>>[NH2:17][c:16]1[n:1][c:2]2[O:6][CH2:5][CH2:4][c:3]2[c:7]-2[c:8]1[S:9][c:10]1[cH:11][cH:12][cH:13][cH:14][c:15]-21
c1ccccc1.CCCCBr>>CCC(C)c1ccccc1.Br,[CH3:1][CH2:2][CH2:3][CH2:4][Br:5].[cH:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1>>[BrH:5].[CH3:1][CH2:2][CH:3]([CH3:4])[c:8]1[cH:9][cH:10][cH:11][cH:6][cH:7]1
C[C@H](CCC=O)C#C.[C-]#[O+]>>C[C@@H]1CCC2OC(=O)C=C12,[CH3:1][C@H:2]([CH2:3][CH2:4][CH:5]=[O:6])[C:7]#[CH:8].[C-:9]#[O+:10]>>[CH3:1][C@@H:2]1[CH2:3][CH2:4][CH:5]2[O:6][C:9](=[O:10])[CH:8]=[C:7]12
CC#CCCC1=CC=C(O1)[C@@H](O)CNC(C)=O>>[H][C@]1(CCC#CC)O[C@@]([H])(CNC(C)=O)C(=O)C=C1,[CH3:1][C:2]#[C:3][CH2:4][CH2:5][C:6]1=[CH:7][CH:8]=[C:9]([O:10]1)[C@@H:11]([OH:12])[CH2:13][NH:14][C:15]([CH3:16])=[O:17]>>[CH3:1][C:2]#[C:3][CH2:4][CH2:5][C@H:6]1[O:12][C@@H:11]([CH2:13][NH:14][C:15]([CH3:16])=[O:17])[C:9](=[O:10])[CH:8]=[CH:7]1
CC1(C)C2CCC1(O)C(=C)C2.O>>CC1(C)C2CCC(CO)(C2)C1=O,[OH2:1].[CH3:2][C:3]1([CH3:4])[CH:5]2[CH2:6][CH2:7][C:8]1([OH:9])[C:10](=[CH2:11])[CH2:12]2>>[CH3:4][C:3]1([CH3:2])[CH:5]2[CH2:6][CH2:7][C:10]([CH2:11][OH:1])([CH2:12]2)[C:8]1=[O:9]
[H][C@@]12CC[C@@H](OC1=O)C13CCCC21CC3(C)C>>[H][C@]12CCC3C(C)(C)CC11CCC[C@@]31OC2=O,[H:1][C@@:2]12[CH2:3][CH2:4][C@@H:5]([O:6][C:7]1=[O:8])[C:9]13[CH2:10][CH2:11][CH2:12][C:13]21[CH2:14][C:15]3([CH3:16])[CH3:17]>>[H:1][C@:2]12[CH2:3][CH2:4][CH:5]3[C:15]([CH3:16])([CH3:17])[CH2:14][C:13]11[CH2:12][CH2:11][CH2:10][C@@:9]31[O:6][C:7]2=[O:8]
CC(CCC1=C(C)CCCC1(C)C)=CCO.OC=O>>C[C@]12CC[C@]3(C1)[C@](C)(CCCC3(C)C)C2OC=O.O,[CH3:1][C:2]([CH2:3][CH2:4][C:5]1=[C:6]([CH3:7])[CH2:8][CH2:9][CH2:10][C:11]1([CH3:12])[CH3:13])=[CH:14][CH2:15][OH:16].[OH:17][CH:18]=[O:19]>>[CH3:1][C@:2]12[CH2:3][CH2:4][C@:5]3([CH2:15]1)[C@:6]([CH3:7])([CH2:8][CH2:9][CH2:10][C:11]3([CH3:12])[CH3:13])[CH:14]2[O:17][CH:18]=[O:19].[OH2:16]
CC(=C)[C@@H](O)[C@@H](O)C(C)=C.CC(C)=O>>CC(=C)[C@@H]1OC(C)(C)C[C@]1(C)C=O,[CH3:1][C:2]([CH3:3])=[O:4].[CH3:5][C:6](=[CH2:7])[C@@H:8]([OH:9])[C@@H:10]([OH:11])[C:12]([CH3:13])=[CH2:14]>>[OH2:4].[CH3:5][C:6](=[CH2:7])[C@@H:8]1[O:9][C:2]([CH3:3])([CH3:1])[CH2:14][C@:12]1([CH3:13])[CH:10]=[O:11]
C\C=C(\C)C1(C)OC(C)O[C@H]1C>>C[C@H]1O[C@@H](C)[C@](C)([C@H]1C)C(C)=O,[CH3:1]\[CH:2]=[C:3](\[CH3:4])[C:5]1([CH3:6])[O:7][CH:8]([CH3:9])[O:10][C@H:11]1[CH3:12]>>[CH3:9][C@H:8]1[O:10][C@@H:11]([CH3:12])[C@:3]([CH3:4])([C@H:2]1[CH3:1])[C:5]([CH3:6])=[O:7]
CC(C)=CCC\C(C)=C\COC(=N)C(Cl)(Cl)Cl>>CC(C)=CCCC(C)(NC(=O)C(Cl)(Cl)Cl)C=C,[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][CH2:6]\[C:7]([CH3:8])=[CH:9]\[CH2:10][O:11][C:12](=[NH:13])[C:14]([Cl:15])([Cl:16])[Cl:17]>>[CH3:1][C:2]([CH3:3])=[CH:4][CH2:5][CH2:6][C:7]([CH3:8])([NH:13][C:12](=[O:11])[C:14]([Cl:16])([Cl:15])[Cl:17])[CH:9]=[CH2:10]
C[C@H](CCC=C(C)C)[C@@]12C[C@@H]1C(=O)CC2>>[H][C@@]12CC[C@@H](C)[C@]11C[C@@H](C(=O)CC1)C2(C)C,[CH3:1][C@H:2]([CH2:3][CH2:4][CH:5]=[C:6]([CH3:7])[CH3:8])[C@@:9]12[CH2:10][C@@H:11]1[C:12](=[O:13])[CH2:14][CH2:15]2>>[CH3:1][C@@H:2]1[CH2:3][CH2:4][C@H:5]2[C:6]([CH3:8])([CH3:7])[C@H:11]3[CH2:10][C@@:9]12[CH2:15][CH2:14][C:12]3=[O:13]
[H][C@]12CC(Cl)[C@](C)(C=C)C([N+]#[C-])=C1C1(Cl)C3=C(C=CC=C3)N=C1C2(C)C>>[H][C@]12C[C@@H](Cl)[C@@](C)(C=C)C([N+]#[C-])=C1[C@]1(C(=O)Nc3ccccc13)C2(C)C,[CH3:24][C:23]1([CH3:25])[C@H:1]2[CH2:2][CH:3]([Cl:4])[C@:5]([CH3:6])([CH:7]=[CH2:8])[C:9]([N+:10]#[C-:11])=[C:12]2[C:13]2([Cl:14])[C:15]3=[C:16]([CH:17]=[CH:18][CH:19]=[CH:20]3)[N:21]=[C:22]12.[O:26]>>[CH3:24][C:23]1([CH3:25])[C@H:1]2[CH2:2][C@@H:3]([Cl:4])[C@@:5]([CH3:6])([CH:7]=[CH2:8])[C:9]([N+:10]#[C-:11])=[C:12]2[C@:13]11[C:22](=[O:26])[NH:21][c:16]2[cH:17][cH:18][cH:19][cH:20][c:15]12.[Cl:14]
[H][C@]12CC(Cl)[C@](C)(C=C)C([N+]#[C-])=C1C1=C(NC3=C1C=CC=C3)C2(C)C>>[H][C@]12C[C@@H](Cl)[C@@](C)(C=C)C([N+]#[C-])=C1[C@]1(C(=O)Nc3ccccc13)C2(C)C,[OH2:1].[CH3:24][C:23]1([CH3:25])[C@H:2]2[CH2:3][CH:4]([Cl:5])[C@:6]([CH3:7])([CH:8]=[CH2:9])[C:10]([N+:11]#[C-:12])=[C:13]2[C:14]2=[C:15]1[NH:16][C:17]1=[C:18]2[CH:19]=[CH:20][CH:21]=[CH:22]1>>[CH3:25][C:23]1([CH3:24])[C@H:2]2[CH2:3][C@@H:4]([Cl:5])[C@@:6]([CH3:7])([CH:8]=[CH2:9])[C:10]([N+:11]#[C-:12])=[C:13]2[C@:14]11[C:15](=[O:1])[NH:16][c:17]2[cH:22][cH:21][cH:20][cH:19][c:18]12
CC[C@@H]1CCCN(C1C=C)C(=O)CC>>CC[C@@H]1CCCNC(=O)[C@H](C)C\C=C\1,[CH3:1][CH2:2][C@@H:3]1[CH2:4][CH2:5][CH2:6][N:7]([CH:8]1[CH:9]=[CH2:10])[C:11](=[O:12])[CH2:13][CH3:14]>>[CH3:1][CH2:2][C@@H:3]1[CH2:4][CH2:5][CH2:6][NH:7][C:11](=[O:12])[C@H:13]([CH3:14])[CH2:10]\[CH:9]=[CH:8]\1
CC(=O)C(=O)[C@@]1(C)CCC2C(CCC3=CC(=O)CC[C@]23C)C1CC=O>>C[C@]12CCC(=O)C=C1CCC1C2CC[C@@]2(C)C1C[C@@H]1C[C@@]2(O)C(=O)O1,[CH3:1][C:2](=[O:3])[C:4](=[O:5])[C@@:6]1([CH3:7])[CH2:8][CH2:9][CH:10]2[CH:11]([CH2:12][CH2:13][C:14]3=[CH:15][C:16](=[O:17])[CH2:18][CH2:19][C@:20]23[CH3:21])[CH:22]1[CH2:23][CH:24]=[O:25]>>[CH3:21][C@:20]12[CH2:19][CH2:18][C:16](=[O:17])[CH:15]=[C:14]1[CH2:13][CH2:12][CH:11]1[CH:10]2[CH2:9][CH2:8][C@@:6]2([CH3:7])[CH:22]1[CH2:23][C@@H:24]1[CH2:1][C@@:2]2([OH:3])[C:4](=[O:5])[O:25]1
CCOC1=C(N=C(O1)c1ccccc1)C1=NCCO1>>CCOC(=O)C1=C2OCCN2C(=N1)c1ccccc1,[CH3:1][CH2:2][O:3][C:4]1=[C:5]([N:6]=[C:7]([O:8]1)[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[C:15]1=[N:16][CH2:17][CH2:18][O:19]1>>[CH3:1][CH2:2][O:3][C:4](=[O:8])[C:5]1=[C:15]2[O:19][CH2:18][CH2:17][N:16]2[C:7](=[N:6]1)[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1
[H][C@]12CCN(C(=O)OCC)[C@]1([H])[C@H](CCO[Si](C)(C)C(C)(C)C)[C@H](O)C=C2>>[H][C@]12CCN(C(=O)OCC)[C@]1([H])[C@H](CCO[Si](C)(C)C(C)(C)C)C=C[C@@H]2C(N)=O,[CH3:9][CH2:8][O:7][C:5](=[O:6])[N:4]1[CH2:3][CH2:2][C@@H:1]2[CH:25]=[CH:24][C@@H:22]([OH:23])[C@@H:11]([CH2:12][CH2:13][O:14][Si:15]([CH3:16])([CH3:17])[C:18]([CH3:19])([CH3:20])[CH3:21])[C@@H:10]12.[C:26].[N:27]>>[CH3:9][CH2:8][O:7][C:5](=[O:6])[N:4]1[CH2:3][CH2:2][C@H:1]2[C@H:10]1[C@H:11]([CH2:12][CH2:13][O:14][Si:15]([CH3:16])([CH3:17])[C:18]([CH3:21])([CH3:20])[CH3:19])[CH:22]=[CH:24][C@@H:25]2[C:26]([NH2:27])=[O:23]
CO[C@@H]1C[C@@H]2OC(=O)CC2C(=C)O1.O>>OC1C[C@@H]2OC(=O)CC2C(=O)C1,[CH3:1][O:2][C@@H:3]1[CH2:4][C@@H:5]2[O:6][C:7](=[O:8])[CH2:9][CH:10]2[C:11](=[CH2:12])[O:13]1.[OH2:14]>>[OH:13][CH:3]1[CH2:4][C@@H:5]2[O:6][C:7](=[O:8])[CH2:9][CH:10]2[C:11](=[O:14])[CH2:12]1
CC1(C)C[C@@H](O)[C@]2(O)CC3=COC=C3C=C2C1>>CC1(C)CC2C(C1)=CC1=COC=C1CC2=O,[CH3:1][C:2]1([CH3:3])[CH2:4][C@@H:5]([OH:6])[C@:7]2([OH:8])[CH2:9][C:10]3=[CH:11][O:12][CH:13]=[C:14]3[CH:15]=[C:16]2[CH2:17]1>>[CH3:1][C:2]1([CH3:3])[CH2:4][CH:5]2[C:16]([CH2:17]1)=[CH:15][C:14]1=[CH:13][O:12][CH:11]=[C:10]1[CH2:9][C:7]2=[O:8]
Cc1ccc(cc1)S(=O)(=O)O[C@@H]1CC(C)(C)CC2=CC3=COC=C3C[C@@]12O>>CC1(C)CC2C(C1)=CC1=COC=C1CC2=O.Cc1ccc(cc1)S(O)(=O)=O,[CH3:1][c:2]1[cH:3][cH:4][c:5]([cH:6][cH:7]1)[S:8](=[O:9])(=[O:10])[O:11][C@@H:12]1[CH2:13][C:14]([CH3:15])([CH3:16])[CH2:17][C:18]2=[CH:19][C:20]3=[CH:21][O:22][CH:23]=[C:24]3[CH2:25][C@@:26]12[OH:27]>>[CH3:15][C:14]1([CH3:16])[CH2:13][CH:12]2[C:18]([CH2:17]1)=[CH:19][C:20]1=[CH:21][O:22][CH:23]=[C:24]1[CH2:25][C:26]2=[O:27].[CH3:1][c:2]1[cH:3][cH:4][c:5]([cH:6][cH:7]1)[S:8]([OH:11])(=[O:10])=[O:9]
[H][C@]12CC=C[C@@]1([H])CC(=C2)[C@@]1(CCC[C@H]1CC(OC)OC)O[Si](CC)(CC)CC>>[H][C@]12CC(OC)[C@]3([H])[C@@]4([H])CC=C[C@@]4([H])C[C@]13C(=O)CCC2.CC[SiH](CC)CC,[CH3:23][CH2:22][Si:21]([CH2:24][CH3:25])([CH2:26][CH3:27])[O:20][C@:9]1([CH2:10][CH2:11][CH2:12][C@H:13]1[CH2:14][CH:15]([O:16][CH3:17])[O:18][CH3:19])[C:7]1=[CH:8][C@H:1]2[CH2:2][CH:3]=[CH:4][C@H:5]2[CH2:6]1>>[CH3:27][CH2:26][SiH:21]([CH2:22][CH3:23])[CH2:24][CH3:25].[CH3:19][O:18][CH:15]1[CH2:14][C@@H:13]2[CH2:12][CH2:11][CH2:10][C:9](=[O:20])[C@@:7]22[CH2:6][C@@H:5]3[CH:4]=[CH:3][CH2:2][C@@H:1]3[C@@H:8]12.[C:17].[O:16]
CC(C)=C1CCOCO1>>CC1(C)COCCC1=O,[CH3:1][C:2]([CH3:3])=[C:4]1[CH2:5][CH2:6][O:7][CH2:8][O:9]1>>[CH3:3][C:2]1([CH3:1])[CH2:8][O:7][CH2:6][CH2:5][C:4]1=[O:9]
O=C1CCCCC1.CC(=O)\C=C\c1ccccc1>>O=C1CC(C2CCCCC2=C1)c1ccccc1,[CH3:1][C:2](=[O:3])\[CH:4]=[CH:5]\[c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1.[O:12]=[C:13]1[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]1>>[OH2:12].[O:3]=[C:2]1[CH2:4][CH:5]([CH:18]2[CH2:17][CH2:16][CH2:15][CH2:14][C:13]2=[CH:1]1)[c:6]1[cH:11][cH:10][cH:9][cH:8][cH:7]1
C[N+]1([O-])CCCC1C1=CC=CN=C1.CC(=O)OC(C)=O>>CC(=O)N1CCCC1C1=CC=CN=C1.C=O.CC(O)=O,[CH3:1][N+:2]1([O-:3])[CH2:4][CH2:5][CH2:6][CH:7]1[C:8]1=[CH:9][CH:10]=[CH:11][N:12]=[CH:13]1.[CH3:14][C:15](=[O:16])[O:17][C:18]([CH3:19])=[O:20]>>[CH3:14][C:15](=[O:16])[N:2]1[CH2:4][CH2:5][CH2:6][CH:7]1[C:8]1=[CH:9][CH:10]=[CH:11][N:12]=[CH:13]1.[CH2:1]=[O:3].[CH3:19][C:18]([OH:17])=[O:20]
CC(C)(C)[Si](C)(C)O[C@@H]1CC[C@@]2([C@H]3[C@@H]2[C@]1(C)COC3=O)C1=CC=CCC1>>CC(C)(C)[Si](C)(C)O[C@@H]1CCC2=C3CCC=C[C@@H]3[C@H]3[C@@H]2[C@]1(C)COC3=O,[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][C@@H:9]1[CH2:10][CH2:11][C@@:12]2([C@H:13]3[C@@H:14]2[C@:15]1([CH3:16])[CH2:17][O:18][C:19]3=[O:20])[C:21]1=[CH:22][CH:23]=[CH:24][CH2:25][CH2:26]1>>[CH3:4][C:2]([CH3:3])([CH3:1])[Si:5]([CH3:6])([CH3:7])[O:8][C@@H:9]1[CH2:10][CH2:11][C:12]2=[C:21]3[CH2:26][CH2:25][CH:24]=[CH:23][C@@H:22]3[C@H:13]3[C@@H:14]2[C@:15]1([CH3:16])[CH2:17][O:18][C:19]3=[O:20]
