reaction,mapped_reaction
[H][C@]12CC[C@@]3(C)[C@@H](CC[C@@]3(O)C1COC(C2)OC)OS(=O)(=O)C1=CC=C(C)C=C1>>[H][C@@]12CC(OC)OCC1C(=O)CC\C=C(C)\CC2.CC1=CC=C(C=C1)S(O)(=O)=O,[CH3:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:6]=[CH:7]1)[S:8](=[O:9])(=[O:9])[O:11][C@@H:12]2[CH2:13][CH2:14][C@@:15]3([C@:16]2([CH2:17][CH2:18][C@H:19]4[CH:20]3[CH2:21][O:22][CH:23]([CH2:24]4)[O:25][CH3:26])[CH3:27])[OH:28]>>[CH3:27]/[C:16]1=[CH:12]\[CH2:13][CH2:14][C:15](=[O:28])[CH:20]2[CH2:21][O:22][CH:23]([CH2:24][C@H:19]2[CH2:18][CH2:17]1)[O:25][CH3:26].[CH3:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:6]=[CH:7]1)[S:8](=[O:9])(=[O:9])[OH:11]
O=CCCC=O>>OC1CC2C=C(CC2O1)C=O,[O:1]=[CH:2][CH2:3][CH2:4][CH:5]=[O:6].[O:7]=[CH:8][CH2:9][CH2:10][CH:11]=[O:12]>>[OH2:6].[OH:1][CH:2]1[CH2:3][CH:4]2[CH:5]=[C:10]([CH2:9][CH:8]2[O:7]1)[CH:11]=[O:12]
O=CCCC=O.O=CCCC=O>>OC1CC2C=C(CC2O1)C=O,[O:1]=[CH:2][CH2:3][CH2:4][CH:5]=[O:6].[O:7]=[CH:8][CH2:9][CH2:10][CH:11]=[O:12]>>[OH2:6].[OH:1][CH:2]1[CH2:3][CH:4]2[CH:5]=[C:10]([CH2:9][CH:8]2[O:7]1)[CH:11]=[O:12]
C=COCC.CC(=O)C1(CC1)C#Cc1ccccc1.O>>C[C@@]12CC[C@]1(O)C(=CC2)C(=O)c1ccccc1,[CH3:1][CH2:2][O:3][CH:4]=[CH2:5].[CH3:13][C:12](=[O:14])[C:9]1([CH2:10][CH2:11]1)[C:8]#[C:7][cH:6]1[cH:16][cH:17][cH:18][cH:19][cH:20]1.[O:15]>>[CH3:13][C@@:12]12[CH2:11][CH2:10][C@:9]1([OH:15])[C:8](=[CH:4][CH2:5]2)[C:7](=[O:14])[c:6]1[cH:16][cH:17][cH:18][cH:19][cH:20]1
CCOC=C.CC#CC1(CC1)C(C)=O.O>>CC(=O)C1=CC[C@]2(C)CC[C@]12O,[CH3:1][CH2:2][O:3][CH:4]=[CH2:5].[CH3:6][C:7]#[C:8][C:9]1([CH2:10][CH2:11]1)[C:12]([CH3:13])=[O:14].[O:15]>>[CH3:6][C:7](=[O:14])[C:8]1=[CH:4][CH2:5][C@:12]2([CH3:13])[CH2:11][CH2:10][C@:9]12[OH:15]
CC1C2CC[C@@]3(C)C=CC(=O)C(C)=C3C2OC1=O>>CC1C2CC[C@]3(C)[C@@]4(C)C(=O)C=CC34C2OC1=O,[CH3:1][CH:2]1[CH:3]2[CH2:4][CH2:5][C@@:6]3([CH3:7])[CH:8]=[CH:9][C:10](=[O:11])[C:12]([CH3:13])=[C:14]3[CH:15]2[O:16][C:17]1=[O:18]>>[CH3:1][CH:2]1[CH:3]2[CH2:4][CH2:5][C@:6]3([CH3:7])[C@@:12]4([CH3:13])[C:10](=[O:11])[CH:9]=[CH:8][C:14]34[CH:15]2[O:16][C:17]1=[O:18]
CC(C)=CC(C)(C)C=C(C1=CC=CC=C1)C1=CC=CC=C1>>CC(C)=CC1C(C)(C)C1(C1=CC=CC=C1)C1=CC=CC=C1,[CH3:1][C:2]([CH3:3])=[CH:4][C:5]([CH3:6])([CH3:7])[CH:8]=[C:9]([C:10]1=[CH:11][CH:12]=[CH:13][CH:14]=[CH:15]1)[C:16]1=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]1>>[CH3:1][C:2]([CH3:3])=[CH:4][CH:8]1[C:5]([CH3:7])([CH3:6])[C:9]1([C:10]1=[CH:15][CH:14]=[CH:13][CH:12]=[CH:11]1)[C:16]1=[CH:21][CH:20]=[CH:19][CH:18]=[CH:17]1
[H][C@@]12C[C@@]3(C(=O)OC)C(=O)CC[C@@]13CC([C@H]2OC(=S)N1C=CN=C1)C(C)(C)O>>COC(=O)C1CC(=O)CC[C@]11CC(C=C1)C(C)(C)O,[CH3:7][O:6][C:4](=[O:5])[C@@:3]12[CH2:2][C@H:1]3[C@@H:15]([O:16][C:17](=[S:18])[N:19]4[CH:20]=[CH:21][N:22]=[CH:23]4)[CH:14]([CH2:13][C@@:12]13[CH2:11][CH2:10][C:8]2=[O:9])[C:24]([CH3:25])([CH3:26])[OH:27]>>[CH3:7][O:6][C:4](=[O:5])[CH:3]1[CH2:2][C:8](=[O:9])[CH2:10][CH2:11][C@:12]11[CH2:13][CH:14]([CH:15]=[CH:1]1)[C:24]([CH3:25])([CH3:26])[OH:27].[C:21].[C:20].[C:17].[C:23].[N:22].[N:19].[O:16].[S:18]
C1N=C1c1ccccc1.O=C1C(=C(C(=C1c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1>>c1ccc(cc1)C1C=NC(c2ccccc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccc1,[O:1]=[C:2]1[C:6](=[C:5]([C:4](=[C:3]1[c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1)[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1)[c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1.[CH:39]1=[N:38][CH:37]1[c:34]1[cH:33][cH:32][cH:31][cH:36][cH:35]1>>[cH:10]1[cH:11][cH:12][c:7]([cH:8][cH:9]1)[CH:6]1[CH:39]=[N:38][C:37]([c:34]2[cH:33][cH:32][cH:31][cH:36][cH:35]2)=[C:3]([c:25]2[cH:30][cH:29][cH:28][cH:27][cH:26]2)[C:4]([c:19]2[cH:24][cH:23][cH:22][cH:21][cH:20]2)=[C:5]1[c:13]1[cH:18][cH:17][cH:16][cH:15][cH:14]1.[C:2].[O:1]
CO\N=C/CNC(=O)C1Cc2ccccc12>>CON1Cc2ccccc2C2C1CNC2=O,[CH3:1][O:2]\[N:3]=[CH:4]/[CH2:5][NH:6][C:7](=[O:8])[CH:9]1[CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]12>>[CH3:1][O:2][N:3]1[CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[CH:9]2[CH:4]1[CH2:5][NH:6][C:7]2=[O:8]
C[Si](C)(C)C#C[Si](C)(C)C.CON=Cc1ccccc1COC(CC#C)C#C>>[H][C@]12OCc3ccccc3[C@]1([H])N(Cc1cc(c(cc21)[Si](C)(C)C)[Si](C)(C)C)OC,[CH3:1][O:2][N:3]=[CH:4][c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[CH2:11][O:12][CH:13]([CH2:14][C:15]#[CH:16])[C:17]#[CH:18].[CH3:19][Si:20]([CH3:21])([CH3:22])[C:23]#[C:24][Si:25]([CH3:26])([CH3:27])[CH3:28]>>[CH3:1][O:2][N:3]1[CH2:14][c:15]2[cH:16][c:24]([c:23]([cH:18][c:17]2[C@H:13]2[O:12][CH2:11][c:10]3[cH:9][cH:8][cH:7][cH:6][c:5]3[C@H:4]12)[Si:20]([CH3:22])([CH3:21])[CH3:19])[Si:25]([CH3:28])([CH3:27])[CH3:26]
C[Si](C)(C)Cc1ccccc1C(Cl)=O.O=Cc1ccccc1>>O=C1OC(Cc2ccccc12)c1ccccc1.C[Si](C)(C)Cl,[CH3:1][Si:2]([CH3:3])([CH3:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][c:11]1[C:12]([Cl:13])=[O:14].[O:15]=[CH:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[O:14]=[C:12]1[O:15][CH:16]([CH2:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]12)[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1.[CH3:4][Si:2]([CH3:3])([CH3:1])[Cl:13]
O=C1C(=C(C(=C1c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1.N#Cc1ccccc1>>c1ccc(cc1)-c1nc(-c2ccccc2)c(-c2ccccc2)c(-c2ccccc2)c1-c1ccccc1.[C-]#[O+],[N:1]#[C:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1.[O:9]=[C:10]1[C:14](=[C:13]([C:12](=[C:11]1[c:33]1[cH:34][cH:35][cH:36][cH:37][cH:38]1)[c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1)[c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1)[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1>>[C-:10]#[O+:9].[cH:6]1[cH:7][cH:8][c:3]([cH:4][cH:5]1)-[c:2]1[n:1][c:14](-[c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[c:13](-[c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)[c:12](-[c:27]2[cH:28][cH:29][cH:30][cH:31][cH:32]2)[c:11]1-[c:33]1[cH:34][cH:35][cH:36][cH:37][cH:38]1
O=C1C(=C(C(=C1c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1.N#Cc1ccccc1>>c1ccc(cc1)-c1nc(-c2ccccc2)c(-c2ccccc2)c(-c2ccccc2)c1-c1ccccc1,[N:1]#[C:2][c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1.[O:9]=[C:10]1[C:14](=[C:13]([C:12](=[C:11]1[c:33]1[cH:34][cH:35][cH:36][cH:37][cH:38]1)[c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1)[c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1)[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1>>[cH:6]1[cH:5][cH:4][c:3]([cH:8][cH:7]1)-[c:2]1[n:1][c:14](-[c:15]2[cH:20][cH:19][cH:18][cH:17][cH:16]2)[c:13](-[c:21]2[cH:26][cH:25][cH:24][cH:23][cH:22]2)[c:12](-[c:27]2[cH:32][cH:31][cH:30][cH:29][cH:28]2)[c:11]1-[c:33]1[cH:38][cH:37][cH:36][cH:35][cH:34]1.[C:10].[O:9]
C#CCOc1ccccc1C1=NC=CC=N1>>C1Oc2ccccc2-c2ncccc12.C#N,[CH:1]#[C:2][CH2:3][O:4][c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[C:11]1=[N:12][CH:13]=[CH:14][CH:15]=[N:16]1>>[CH:15]#[N:16].[CH2:3]1[O:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2-[c:11]2[n:12][cH:13][cH:14][cH:1][c:2]12
OC1=CC(=O)NC=C1c1ccccc1.C\C=C\C=C\CCC[C@@H](C)C=O>>[H][C@@]12CCC[C@@H](C)[C@]1([H])C1=C(O[C@H]2\C=C\C)C(=CNC1=O)c1ccccc1,[CH3:1]\[CH:2]=[CH:3]\[CH:4]=[CH:5]\[CH2:6][CH2:7][CH2:8][C@@H:9]([CH3:10])[CH:11]=[O:12].[OH:13][C:14]1=[CH:15][C:16](=[O:17])[NH:18][CH:19]=[C:20]1[c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1>>[OH2:12].[CH3:1]\[CH:2]=[CH:3]\[C@@H:4]1[O:13][C:14]2=[C:15]([C@H:11]3[C@H:9]([CH3:10])[CH2:8][CH2:7][CH2:6][C@@H:5]13)[C:16](=[O:17])[NH:18][CH:19]=[C:20]2[c:21]1[cH:26][cH:25][cH:24][cH:23][cH:22]1
CC(C)OC(=O)\C=C\C(=O)O\C=C\[N+]([O-])=O.C=CO[C@@H]1CCCC1(c1ccccc1)c1ccccc1>>[H][C@]12C[C@@]([H])(O[C@@H]3CCCC3(c3ccccc3)c3ccccc3)ON3O[C@@H](C(=O)OC(C)C)[C@]([H])(C(=O)O1)[C@]23[H],[CH3:1][CH:2]([CH3:3])[O:4][C:5](=[O:6])\[CH:7]=[CH:8]\[C:9](=[O:10])[O:11]\[CH:12]=[CH:13]\[N+:14]([O-:15])=[O:16].[CH2:17]=[CH:18][O:19][C@@H:20]1[CH2:21][CH2:22][CH2:23][C:24]1([c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1)[c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1>>[CH3:3][CH:2]([CH3:1])[O:4][C:5](=[O:6])[C@@H:7]1[O:15][N:14]2[O:16][C@@H:18]([CH2:17][C@H:12]3[O:11][C:9](=[O:10])[C@@H:8]1[C@@H:13]23)[O:19][C@@H:20]1[CH2:21][CH2:22][CH2:23][C:24]1([c:31]1[cH:36][cH:35][cH:34][cH:33][cH:32]1)[c:25]1[cH:30][cH:29][cH:28][cH:27][cH:26]1
C[Si](C)(C)C1=CC=CC=C1OS(=O)(C(F)(F)F)=O.O=C(CC(OC)=O)C.[F-]>>O=C(C)C2=CC=CC=C2CC(OC)=O.C[Si](C)(F)C.[O-]S(=O)(C(F)(F)F)=O,[#6:1][Si:2]([#6:3])([#6:4])[#6:5]-1=[#6:6]-[#6:7]=[#6:8]-[#6:9]=[#6:10]-1-[#8:11][S:12](=[O:13])(=[O:18])[C:14]([F:15])([F:16])[F:17].[#6:24]-[#8:23]-[#6:22](=[O:25])-[#6:21]-[#6:20](-[#6:26])=[O:19].[F-:27]>>[#6:24]-[#8:23]-[#6:22](=[O:25])-[#6:21]-[#6:5]-1=[#6:6]-[#6:7]=[#6:8]-[#6:9]=[#6:10]-1-[#6:20](-[#6:26])=[O:19].[#6:1][Si:2]([#6:3])([#6:4])[F:27].[#8-:11][S:12](=[O:18])(=[O:13])[C:14]([F:15])([F:16])[F:17]
CC(CCC1(C(CCCC1=O)=O)CCCOCC2=CC=CC=C2)=O>>O=C3CC[C@@]4(C(CCCC4=C3)=O)CCCOCC5=CC=CC=C5.O,[#6:1]-[#6:2](=[O:24])-[#6:3]-[#6:4][C:5]1([#6:13]-[#6:14]-[#6:15]-[#8:16]-[#6:17]-[#6:18]-2=[#6:19]-[#6:20]=[#6:21]-[#6:22]=[#6:23]-2)[#6:10](=[O:11])-[#6:9]-[#6:8]-[#6:7]-[#6:6]1=[O:12]>>[O:24]=[#6:2]-1-[#6:3]-[#6:4][C@:5]2([#6:13]-[#6:14]-[#6:15]-[#8:16]-[#6:17]-[#6:18]-3=[#6:23]-[#6:22]=[#6:21]-[#6:20]=[#6:19]-3)[#6:10](=[O:11])-[#6:9]-[#6:8]-[#6:7]-[#6:6]2=[#6:1]-1.[#8:12]
O=C(OC)C1OC1(C)CC(OC)OC>>O=C(OC)C2=C(C)C=CO2.OC.OC,[CH3:8][C:7]1([CH:5]([O:6]1)[C:2](=[O:1])[O:3][CH3:4])[CH2:9][CH:10]([O:11][CH3:12])[O:13][CH3:14]>>[CH3:8][C:7]1=[C:5]([O:6][CH:10]=[CH:9]1)[C:2](=[O:1])[O:3][CH3:4].[CH3:12][OH:11].[CH3:14][OH:13]
OCC1=CC=CO1.O=C(C2=CC=CC(Cl)=C2)OO>>O=C3COC(C=C3)O.OC(C4=CC=CC(Cl)=C4)=O,[#8:1]-[#6:2]-[#6:3]-1=[#6:4]-[#6:5]=[#6:6]-[#8:7]-1.[#8:18]-[#8:17]-[#6:9](=[O:8])-[#6:10]-1=[#6:11]-[#6:12]=[#6:13]-[#6:14]([Cl:15])=[#6:16]-1>>[#8:18]-[#6:6]-1-[#8:1]-[#6:2]-[#6:3](=[O:7])-[#6:4]=[#6:5]-1.[#8:17]-[#6:9](=[O:8])-[#6:10]-1=[#6:11]-[#6:12]=[#6:13]-[#6:14]([Cl:15])=[#6:16]-1
OC(C1=CC=CC=C1)(C2=CC=CC=C2)C(C3=CC=CC=C3)(O)C4=CC=CC=C4>>C5(C(C=CC=C6)=C6C(C7=CC=CC=C7)=C8C9=CC=CC=C9)=C8C=CC=C5.O.O,[#8:1][C:2]([#6:3]-1=[#6:4]-[#6:5]=[#6:6]-[#6:7]=[#6:8]-1)([#6:9]-1=[#6:10]-[#6:11]=[#6:12]-[#6:13]=[#6:14]-1)[C:15]([#8:22])([#6:16]-1=[#6:17]-[#6:18]=[#6:19]-[#6:20]=[#6:21]-1)[#6:23]-1=[#6:24]-[#6:25]=[#6:26]-[#6:27]=[#6:28]-1>>[#6:6]-1=[#6:5]-[#6:4]=[#6:3](-[#6:8]=[#6:7]-1)-[#6:2]-1=[#6:15](-[#6:16]-2=[#6:17]-[#6:18]=[#6:19]-[#6:20]=[#6:21]-2)-[#6:23]-2=[#6:24](-[#6:25]=[#6:26]-[#6:27]=[#6:28]-2)-[#6:10]-2=[#6:9]-1-[#6:14]=[#6:13]-[#6:12]=[#6:11]-2.[#8:1].[#8:22]
C=C/C=C/OC(C)=O.C1=CC=CCC=C1>>C23C=CC=CC(CC=CC3OC(C)=O)C2,[CH3:1][C:2](=[O:3])[O:4]/[CH:5]=[CH:6]/[CH:7]=[CH2:8].[CH2:9]1[CH:10]=[CH:11][CH:12]=[CH:13][CH:14]=[CH:15]1>>[CH3:1][C:2](=[O:3])[O:4][CH:5]1[CH:6]=[CH:7][CH2:8][CH:15]2[CH2:9][CH:10]1[CH:11]=[CH:12][CH:13]=[CH:14]2 
C=C(C)CCN(C(OC(C)(C)C)=O)C1=CC=CO1>>O=C2CC3(C)C(N(C(OC(C)(C)C)=O)CC3)=CC2,[#6:3]-[#6:2](=[#6:1])-[#6:4]-[#6:5]-[#7:6](-[#6:7](=[O:13])-[#8:8][C:9]([#6:10])([#6:11])[#6:12])-[#6:14]-1=[#6:15]-[#6:16]=[#6:17]-[#8:18]-1>>[#6:11][C:9]([#6:10])([#6:12])[#8:8]-[#6:7](=[O:13])-[#7:6]-1-[#6:5]-[#6:4][C:2]2([#6:3])[#6:1]-[#6:17](=[O:18])-[#6:16]-[#6:15]=[#6:14]-12
N[C@@H](CO)C1=CC=CC=C1.O=CCCCC=O.[H]C#N>>N#C[C@H]2N3C(COC3CCC2)C4=CC=CC=C4.O.O,[NH2:1][C@@H:2]([CH2:3][OH:4])[C:5]1=[CH:6][CH:7]=[CH:8][CH:9]=[CH:10]1.[O:11]=[CH:12][CH2:13][CH2:14][CH2:15][CH:16]=[O:17].[CH:18]#[N:19]>>[N:19]#[C:18][C@@H:12]1[CH2:13][CH2:14][CH2:15][CH:16]2[O:4][CH2:3][CH:2]([N:1]12)[C:5]1=[CH:10][CH:9]=[CH:8][CH:7]=[CH:6]1.[OH2:17].[OH2:11]
C[Si](C)(C)O/C=C1CCCCCCCCCCC\1(CC(C)=C)O>>CC2=CC=C3CCCCCCCCCCC3=C2.O[Si](C)(C)C.O,[#6:21]-[#6:20](=[#6:22])-[#6:19][C:18]1([#8:23])[#6:17]-[#6:16]-[#6:15]-[#6:14]-[#6:13]-[#6:12]-[#6:11]-[#6:10]-[#6:9]-[#6:8]\[#6:7]1=[#6:6]/[#8:5][Si:2]([#6:1])([#6:3])[#6:4]>>[#6:21]-[#6:20]-1=[#6:22]-[#6:6]=[#6:7]-2-[#6:8]-[#6:9]-[#6:10]-[#6:11]-[#6:12]-[#6:13]-[#6:14]-[#6:15]-[#6:16]-[#6:17]-[#6:18]-2=[#6:19]-1.[#6:4][Si:2]([#6:3])([#6:1])[#8:5].[#8:23]
O=C1C(C)=CC[C@@H](C(C)=C)C1.C=C=C([Si](C)(C)C)C>>C[C@@]23[C@@](CC([Si](C)(C)C)=C3C)([H])C[C@@H](C(C)=C)CC2=O,[C@@H:7]1([CH2:6][CH:5]=[C:3]([C:2](=[O:1])[CH2:12]1)[CH3:4])[C:9](=[CH2:11])[CH3:10].[CH3:20][C:15](=[C:14]=[CH2:13])[Si:16]([CH3:17])([CH3:18])[CH3:19]>>[C@@H:5]12[CH2:6][C@H:7]([CH2:12][C:2](=[O:1])[C@@:3]1([C:15](=[C:14]([CH2:13]2)[Si:16]([CH3:17])([CH3:18])[CH3:19])[CH3:20])[CH3:4])[C:9](=[CH2:11])[CH3:10] 
OC(C1=CC=CC=C1)(C#CC2=CC=CC=C2)C3=CC=CC=C3.OC(C1=CC=CC=C1)(C#CC2=CC=CC=C2)C3=CC=CC=C3>>C1(C2=CC=CC=C2)=C3C(C4=CC=CC=C4)=C5C=CC=CC5=C(C3=C(C6=CC=CC=C16)C7=CC=CC=C7)C8=CC=CC=C8.[H]O[H].[H]O[H],[#8:1][C:2]([C:9]#[C:10][#6:11]-1=[#6:12]-[#6:13]=[#6:14]-[#6:15]=[#6:16]-1)([#6:3]-1=[#6:4]-[#6:5]=[#6:6]-[#6:7]=[#6:8]-1)[#6:17]-1=[#6:18]-[#6:19]=[#6:20]-[#6:21]=[#6:22]-1.[#8:23][C:24]([C:31]#[C:32][#6:33]-1=[#6:34]-[#6:35]=[#6:36]-[#6:37]=[#6:38]-1)([#6:25]-1=[#6:26]-[#6:27]=[#6:28]-[#6:29]=[#6:30]-1)[#6:39]-1=[#6:40]-[#6:41]=[#6:42]-[#6:43]=[#6:44]-1>>[#6:42]-1=[#6:43]-[#6:44]=[#6:39](-[#6:40]=[#6:41]-1)-[#6:24]-1=[#6:31]-2-[#6:32](-[#6:33]-3=[#6:38]-[#6:37]=[#6:36]-[#6:35]=[#6:34]-3)=[#6:4]-3-[#6:5]=[#6:6]-[#6:7]=[#6:8]-[#6:3]-3=[#6:2](-[#6:17]-3=[#6:18]-[#6:19]=[#6:20]-[#6:21]=[#6:22]-3)-[#6:9]-2=[#6:10](-[#6:11]-2=[#6:12]-[#6:13]=[#6:14]-[#6:15]=[#6:16]-2)-[#6:26]-2=[#6:27]-[#6:28]=[#6:29]-[#6:30]=[#6:25]-1-2.[#8:1].[#8:23]
O=C(OC)[C@@H](N(CC#C)CC=C)CC1=CC=CC=C1>>O=C(OC)[C@@H](N1CC(C=C)=CC1)CC2=CC=CC=C2,[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][C:7]1=[CH:8][CH:9]=[CH:10][CH:11]=[CH:12]1)[N:13]([CH2:14][CH:15]=[CH2:16])[CH2:17][C:18]#[CH:19]>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][C:7]1=[CH:8][CH:9]=[CH:10][CH:11]=[CH:12]1)[N:13]2[CH2:14][CH:15]=[C:18]([CH2:17]2)[CH:19]=[CH2:16]
C1CCCO1.CCCC[Li]>>C=CO[Li].C=C.CCCC,[#6:2]-1-[#6:3]-[#6:4]-[#8:5]-[#6:1]-1.[Li:10][#6:9]-[#6:8]-[#6:7]-[#6:6]>>[Li:10][#8:5]-[#6:1]=[#6:2].[#6:3]=[#6:4].[#6:9]-[#6:8]-[#6:7]-[#6:6]
CC1=C2[C@@](CCC2)([H])[C@]3([H])[C@@](/C(C(O3)=O)=C/C)([H])[C@@H](O)C1>>O[C@H]1CC(C)=C2[C@@]([C@]1([H])/C3=C/C)([H])[C@@](CCC2)([H])OC3=O,[CH3:1]/[CH:2]=[C:3]\1[C@@H:4]2[C@H:5]([CH2:6][C:7](=[C:8]3[CH2:9][CH2:10][CH2:11][C@@H:12]3[C@H:13]2[O:14][C:15]1=[O:16])[CH3:17])[OH:18]>>[CH3:1]/[CH:2]=[C:3]\1[C@@H:4]2[C@H:5]([CH2:6][C:7](=[C:8]3[C@H:13]2[C@H:12]([CH2:11][CH2:10][CH2:9]3)[O:16][C:15]1=[O:14])[CH3:17])[OH:18]
C=C1C=CC(C)=C/C1=C\O[Li].C12=CC=CC=C1CCN=C2.[H]Cl>>CC1=CC=C(CC(C(C=CC=C2)=C2CC3)N3C4O)C4=C1.[Li]Cl,[Li:11][#8:10]\[#6:9]=[#6:8]-1/[#6:7]=[#6:5](-[#6:6])-[#6:4]=[#6:3]-[#6:2]-1=[#6:1].[#6:19]-1-[#6:18]-[#6:17]-2=[#6:16]-[#6:15]=[#6:14]-[#6:13]=[#6:12]-2-[#6:21]=[#7:20]-1.[Cl:22]>>[#6:6]-[#6:5]-1=[#6:4]-[#6:3]=[#6:2]-2-[#6:1]-[#6:21]-3-[#7:20](-[#6:19]-[#6:18]-[#6:17]-4=[#6:12]-3-[#6:13]=[#6:14]-[#6:15]=[#6:16]-4)-[#6:9](-[#8:10])-[#6:8]-2=[#6:7]-1.[Li:11][Cl:22]
CC(OC)(C)/C=C/C1=C[C@@H](O)[C@H](O2)[C@H]2C1=O.CC(OC)(C)/C=C/C1=C[C@@H](O)[C@H](O2)[C@H]2C1=O>>OC([C@H]1[C@@H]2O1)[C@@]3([H])[C@](C4=C[C@H](C(C)(OC)C)[C@@]3(/C=C/C(C)(OC)C)C2=O)([H])[C@@H](O)[C@H]5[C@H](O5)C4=O,[CH3:4][O:3][C:2]([CH3:1])([CH3:5])\[CH:6]=[CH:7]\[C:8]1=[CH:9][C@@H:10]([OH:11])[C@@H:12]2[O:13][C@@H:14]2[C:15]1=[O:16].[CH3:20][O:19][C:18]([CH3:17])([CH3:21])\[CH:22]=[CH:23]\[C:24]1=[CH:25][C@@H:26]([OH:27])[C@@H:28]2[O:29][C@@H:30]2[C:31]1=[O:32]>>[CH3:4][O:3][C:2]([CH3:5])([CH3:1])\[CH:6]=[CH:7]\[C@@:8]12[C@@H:9]([CH:10]([OH:11])[C@@H:12]3[O:13][C@@H:14]3[C:15]1=[O:16])[C@@H:25]1[C@@H:26]([OH:27])[C@@H:28]3[O:29][C@@H:30]3[C:31](=[O:32])[C:24]1=[CH:23][C@@H:22]2[C:18]([CH3:21])([CH3:17])[O:19][CH3:20]
